racedate,tvgtrackcode,race,bettinginterestnumber,horsename,morninglineodds,currentodds,winpayout
2020-06-05,cd,4,3,county final,10,9,20.4
2020-06-05,cd,5,7,new eagle,5,5,13.8
2020-06-05,cd,6,5,orb's soul,3,7/2,9.6
2020-06-05,cd,7,4,shedaresthedevil,3,7/5,4.8
2020-06-05,cd,8,9,seranitsa,7/2,7,17
2020-06-05,cd,9,6,wild union,4,2,6.2
2020-06-21,cd,7,8,atmos,8,18,39
2020-06-21,cd,8,8,c z rocket,5/2,6/5,4.6
2020-06-21,cd,9,7,lady kate,12,9/5,5.6
2020-06-21,cd,10,8,coastal defense,6,6,14.2
2020-06-21,cd,1,5,cool bobby,3,7/2,9.2
2020-06-21,cd,2,3,blues power,2,8/5,5.4
2020-06-21,cd,3,8,knights key,10,6,14.8
2020-06-21,cd,4,5,seeds of time,5/2,9/5,5.8
2020-06-21,cd,5,7,lizzie b,8,10,22.2
2020-06-21,cd,6,8,dreamalildreamofu,5,2/5,2.8
2020-06-07,cd,1,1,have no fear,3,3/5,3.2
2020-06-07,cd,2,5,high risk strategy,5,8,18.4
2020-06-07,cd,3,3,petrov,9/2,7/2,9.8
2020-06-07,cd,4,6,quiet company,3,7/5,4.8
2020-06-07,cd,5,5,river echo (gb),5,7/2,9.6
2020-06-07,cd,6,3,nifty,8,5/2,7.4
2020-06-07,cd,7,9,lead guitar,3,4/5,3.8
2020-06-07,cd,8,6,trident hit,12,40,84.8
2020-06-07,cd,9,5,alkhaatam,10,21,45.2
2020-06-07,cd,10,5,front man,6,15,32.6
2020-06-14,cd,1,6,lele,5/2,7/2,9.2
2020-06-14,cd,2,1,bonnet,9/5,3/2,5
2020-06-14,cd,3,8,see the pyramids,7/2,9/2,11.2
2020-06-14,cd,4,8,clifton park,6,7/2,9.6
2020-06-14,cd,5,8,chaos theory,2,4/5,3.8
2020-06-14,cd,6,2,guska mon shoes,10,16,34.2
2020-06-14,cd,7,2,heavens whisper,3,8/5,5.2
2020-06-14,cd,8,11,catch a bid,3,8/5,5.2
2020-06-14,cd,9,8,banks island,4,14,30.2
2020-06-14,cd,10,8,duplicity,2,4/5,3.8
2020-05-28,cd,1,2,hail to the chief,5,6,14.6
2020-05-28,cd,2,3,beautiful memories,2,2/5,2.8
2020-05-28,cd,3,6,longleggedlaverne,12,7/2,9.6
2020-05-28,cd,4,6,rayo de luz,8,14,31.2
2020-05-28,cd,5,12,crazy sexy munny,5,5/2,7.6
2020-05-28,cd,6,5,zero gravity,5,7,16.2
2020-05-28,cd,7,10,bonnet,3,9/5,5.8
2020-05-28,cd,8,9,sprawl,4,4,10.4
2020-05-28,cd,9,5,change of control,20,18,38.8
2020-05-28,cd,10,4,quarterback dak,10,3,8.2
2020-06-04,cd,1,5,dehydration,4,7/2,9.8
2020-06-04,cd,2,3,lord dragon,4,5,13.2
2020-06-04,cd,3,4,flashy biz,7/2,3,8.6
2020-06-12,bel,1,2,wink,6,8,19.8
2020-06-12,bel,2,2,bustin to please,7/2,2,6.5
2020-06-12,bel,3,6,reed kan,10,4,10.8
2020-06-12,bel,4,8,rhythm section,5/2,8/5,5.2
2020-06-12,bel,5,1,lottie's mizzion,3,7/5,4.9
2020-06-12,bel,5,1,queenofeverything,3,7/5,4.9
2020-06-12,bel,6,8,wegetsdamunnys,5,9,21.8
2020-06-12,bel,7,7,eloquent speaker,10,12,27.2
2020-06-12,bel,8,2,chewing gum,5/2,9/5,5.8
2020-06-12,bel,9,3,funny guy,20,11,24.4
2020-06-12,bel,10,2,shamrocket,3,9/2,11.8
2020-06-13,bel,1,5,catch that party,6,5,12.4
2020-06-13,bel,2,4,bold daddy,6,9/2,11
2020-06-13,bel,3,1,primacy,2/5,1/5,2.4
2020-06-13,bel,4,9,go rudy go,8,7,17.4
2020-06-13,bel,5,4,sea foam,7/2,5/2,7.3
2020-06-13,bel,6,8,kitten's cat,3,2,6.9
2020-06-13,bel,7,5,cost benefit (gb),7/2,8/5,5.2
2020-06-13,bel,8,5,quality stones,8,5,12.2
2020-06-13,bel,9,3,she's a julie,8,14,31.4
2020-06-13,bel,10,2,bean counter,8/5,9/5,5.8
2020-06-18,bel,1,6,so darn hot,2,8/5,5.3
