"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"OP",05/02/2020,4,"",118,"Im Justa Bachelor","D","N","g",2017,2,"Ky","Brereton C. Jones","B.","Summer Front","War Front","Academie d'Amour","Royal Academy","Tommy Piwonski","KEESEP",18,4.000,03/20/2020,"","L","",0.00,0,"Mena M","Hornsby Tammy",10,3.894,1,0,0,1,1.878,2,0,0,0,5.772,3,0,0,1,3.894,1,0,0,1,0.534,1,0,0,0,5.238,2,0,0,1,0.000,0,0,0,0,3.894,1,0,0,1,"",14,0.000,2,0,1,0.14,0.21,187,0.000,21,19,15,0.11,0.29,52,0.000,4,2,13,0.08,0.37,52,0.000,4,2,13,0.08,0.37,0,0.000,0,0,0,"",,0,07/31/2019,10.000,"N","2019-20",1,43.80,1.00,1,1.00,43.80
"OP",05/02/2020,4,"",118,"Bank","D","Y","c",2017,3,"Ky","Whisper Hill Farm, LLC","Dk. b or br","Bernardini","A.P. Indy","Speed Succeeds","Gone West","Alex & JoAnn Lieblong","KEESEP",18,275.000,04/05/2020,"","L","",0.00,0,"Santana R Jr","Asmussen Steven M",11,6.000,1,0,0,1,9.973,2,0,0,1,15.973,3,0,0,2,6.000,1,0,0,1,0.000,0,0,0,0,15.973,3,0,0,2,6.000,1,0,0,1,15.500,2,0,0,2,"",298,0.000,58,49,30,0.19,0.46,357,0.000,69,57,38,0.19,0.46,319,0.000,46,48,39,0.14,0.42,730,0.000,128,115,101,0.18,0.47,0,0.000,0,0,0,"BC",05/02/20,3,10/13/2019,40.000,"N","2019-20",396,1.55,0.21,902,0.20,1.57
"OP",05/02/2020,4,"",118,"Gonna Get Loud","D","N","g",2017,3,"Iowa","Iowa State University","Ch.","Paddy O'Prado","El Prado*Ire","She's Better Loud","Bravo Bull","Rick L. Olson","IOWOCT",18,1.000,,"","l","",0.00,0,"Felix J E","Von Hemel Kelly",12,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",152,0.000,7,12,15,0.05,0.22,162,0.000,8,14,16,0.05,0.23,23,0.000,2,1,1,0.09,0.17,23,0.000,2,1,1,0.09,0.17,0,0.000,0,0,0,"",,0,,0.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"OP",05/02/2020,4,"A",118,"Illuminati","D","N","g",2017,3,"Cal","Hill 'n' Dale Equine Holdings, Inc","B.","Secret Circle","Eddington","Betty Bing Bing","Surf Cat","Valorie Lund","KEESEP",18,25.000,04/11/2020,"","L","",0.00,0,"Thompson T J","Lund Valorie",13,0.172,1,0,0,0,0.000,0,0,0,0,0.172,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.172,1,0,0,0,0.172,1,0,0,0,0.172,1,0,0,0,"",111,0.000,12,8,13,0.11,0.30,111,0.000,12,8,13,0.11,0.30,15,0.000,0,3,3,0.00,0.40,41,0.000,8,8,8,0.20,0.59,0,0.000,0,0,0,"",,0,,3.500,"N","2019-20",15,0.81,0.07,15,0.07,0.81
"OP",05/02/2020,4,"A",118,"Gambler Rocket","D","N","c",2017,2,"Ky","Mr. & Mrs. Walter Ogilvie","B.","Fast Anna","Medaglia d'Oro","Vitellia","Awesome Again","Frank Fletcher Racing Operations, Inc.","OBSAPR",19,210.000,04/11/2020,"","L","",0.00,0,"Borel C H","VanMeter William B",14,1.800,1,0,0,0,0.000,0,0,0,0,1.800,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,1.800,1,0,0,0,1.800,1,0,0,0,1.800,1,0,0,0,"",62,0.000,7,3,5,0.11,0.24,62,0.000,7,3,5,0.11,0.24,37,0.000,9,6,0,0.24,0.41,38,0.000,9,6,0,0.24,0.39,0,0.000,0,0,0,"",,0,,10.000,"N","2019-20",4,0.00,0.00,4,0.00,0.00
"OP",05/02/2020,5,"",121,"Treasure Trove","D","N","g",2016,4,"Ky","John Fradkin & Diane Fradkin","Ch.","Tapizar","Tapit","Cashmere","Cowboy Cal","Bayou Bengal Racing Stable","OBSOPN",18,10.000,02/29/2020,"","L","",75.00,0,"Bridgmohan J V","Amoss Thomas",1,42.100,3,1,2,0,53.400,9,2,1,1,95.500,12,3,3,1,22.835,3,1,0,0,4.690,2,0,1,0,90.810,10,3,2,1,22.655,2,1,0,0,25.610,5,1,0,0,"",104,0.000,9,9,9,0.09,0.26,107,0.000,9,9,9,0.08,0.25,78,0.000,14,12,8,0.18,0.44,194,0.000,44,42,26,0.23,0.58,0,0.000,0,0,0,"",,0,12/20/2019,10.000,"N","2019-20",24,3.59,0.25,49,0.22,2.77
"OP",05/02/2020,5,"",118,"Long Range Toddy","D","N","c",2016,4,"Ky","Willis Horton Racing LLC","Dk. b or br","Take Charge Indy","A.P. Indy","Pleasant Song","Unbridled's Song","Willis Horton Racing LLC","",0,0.000,04/11/2020,"","L","",0.00,0,"Court J K","Stewart Dallas",2,0.500,1,0,0,0,597.584,8,1,1,2,919.209,13,4,1,2,3.834,3,0,0,0,0.000,0,0,0,0,919.209,13,4,1,2,533.834,5,1,1,1,514.250,3,1,0,1,"",27,0.000,0,0,2,0.00,0.07,28,0.000,0,0,2,0.00,0.07,32,0.000,3,1,3,0.09,0.22,75,0.000,9,9,11,0.12,0.39,0,0.000,0,0,0,"",,0,09/29/2019,17.500,"N","2019-20",2,0.00,0.00,3,0.00,0.00
"OP",05/02/2020,5,"",118,"Rated R Superstar","D","N","g",2013,4,"Ky","Thorndale Stable L.L.C.","Ch.","Kodiak Kowboy","Posse","Wicked Wish","Gold Case","Crystal Racing Enterprises","",0,0.000,04/03/2020,"","L","",0.00,0,"Garcia M","Contreras Cipriano",3,21.184,4,0,1,0,272.150,5,1,0,1,811.701,39,6,6,6,149.964,11,1,1,1,5.933,3,0,0,0,805.768,36,6,6,6,387.081,13,2,4,1,454.624,15,2,4,3,"",275,0.000,53,32,24,0.19,0.40,275,0.000,53,32,24,0.19,0.40,68,0.000,9,13,5,0.13,0.40,113,0.000,22,19,11,0.19,0.46,0,0.000,0,0,0,"",,0,06/15/2019,0.000,"N","2019-20",18,1.94,0.11,18,0.11,1.94
"OP",05/02/2020,5,"",118,"Chris and Dave","D","N","g",2013,3,"Ky","Bortolazzo Stable LLC","B.","Bluegrass Cat","Storm Cat","Stolen Humor","Distorted Humor","Danny R. Caldwell","",0,0.000,03/15/2020,"","L","",0.00,0,"Talamo J","Villafranco Federico",4,29.700,3,0,1,1,206.585,14,4,4,1,567.450,54,12,15,7,177.380,9,4,2,0,60.920,7,2,1,0,506.530,47,10,14,7,209.370,14,2,5,3,284.203,16,4,6,3,"",311,0.000,53,40,37,0.17,0.42,330,0.000,55,41,38,0.17,0.41,124,0.000,12,20,11,0.10,0.35,124,0.000,12,20,11,0.10,0.35,0,0.000,0,0,0,"",,0,12/15/2019,0.000,"N","2019-20",13,0.00,0.00,13,0.00,0.00
"OP",05/02/2020,5,"",124,"Lombo","D","N","g",2015,1,"Ky","Twin Creeks Farm","Gr/ro","Graydar","Unbridled's Song","Burg Berg","Johannesburg","Michael V. Lombardi","",0,0.000,03/21/2020,"","L","",0.00,0,"Baze T C","D'Amato Philip",5,42.850,2,1,0,0,14.258,5,0,0,1,218.478,14,4,0,2,3.000,1,0,0,0,0.696,2,0,0,0,217.782,12,4,0,2,42.850,2,1,0,0,94.795,3,1,0,0,"",278,0.000,29,37,43,0.10,0.39,296,0.000,30,39,45,0.10,0.39,31,0.000,5,2,4,0.16,0.35,106,0.000,13,12,14,0.12,0.37,0,0.000,0,0,0,"",,0,12/20/2019,4.000,"N","2019-20",12,2.98,0.17,37,0.05,0.97
