"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,09/09/2017,"WRD",2,"D","","",3.50,"FTR","Ftr 5000",0.00,5.000,"fst","O","2","R",8,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,18.04,"Valiant Strawfly","Hot Dam Bam a Lam","Anna Karenina",124,126,127,0.25,1.00,0.75,0,"","C",3,2,0.00,0,18.09,0,0.00,2,0.10,2,0.10,2,0.25,"","",0,0,126,0,"Game second","",2.80,2,"","L","","B","","","Gutierrez G","Strickland Donnie L","",0,80,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,18.04
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,05/13/2017,"RP",10,"D","","",3.50,"FTR","Ftr 15000",0.00,15.000,"fst","O","2","",9,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,18.03,"Jess Painted Sign","Admiral Sting","Hot Dam Bam a Lam",122,122,124,0.50,0.05,0.10,0,"","A",1,1,0.00,0,18.14,0,0.00,2,0.10,3,0.20,3,0.55,"","",0,0,124,0,"Bid, willingly","",2.60,1,"","L","","B","","","Becerra S Jr","Strickland Donnie L","",0,70,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,18.03
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,03/26/2017,"RP",5,"D","","",2.50,"MDN","Mdn 17600",0.00,17.600,"fst","O","2","S",10,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,13.39,"I Fly Like Dynamite","Hot Dam Bam a Lam","Lota Cowboy Mojo",122,124,122,0.25,1.00,1.25,0,"","A",1,2,0.00,0,13.43,0,0.00,0,0.00,2,0.10,2,0.25,"","",0,0,124,0,"Quick away, good 2nd","",4.90,3,"","L","","B","","","Becerra S Jr","Strickland Donnie L","",0,82,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,13.39
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,04/18/2020,"RP",6,"D","","",4.00,"STK","Stk 84000",0.00,84.000,"fst","O","31","S",9,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.46,"Eagles Fly Higher","Hes Limitless","Fenian Faith",126,126,129,2.00,0.10,0.25,0,"","F",6,8,0.00,0,20.11,0,0.00,8,2.35,8,2.80,8,4.20,"","",0,0,126,0,"Slow into stride","",1.40,1,"","L","","B","F","","Ramirez Ricky","Wood G Blane","",0,80,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.46
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,08/18/2019,"Rui",8,"D","","",4.40,"DTR","Dtr 8000",0.00,8.000,"fst","O","3","",9,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,21.51,"Rustys Miracle","Apocalyptical Jess","Suze Returns",126,126,126,1.00,0.25,0.75,0,"","H",8,3,0.00,0,21.63,0,0.00,3,0.60,3,0.60,2,1.00,"","",0,0,126,0,"No mishap, 2nd best","",0.70,1,"","L","","B","F","","Ramirez Ricky","Robbins Mike","",0,89,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","2019",107,25,16,21,0.23,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,21.51
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,07/20/2019,"Rui",9,"D","","",4.40,"DBY","RAINBW DBY-G",0.00,1008.129,"fst","O","3","",10,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,21.29,"Eagle Coast","Five Bar Stoli","Apocalyptical Jess",126,126,126,0.25,1.00,0.05,1,"","J",10,4,0.00,0,21.48,0,0.00,4,0.30,4,0.70,3,1.25,"","",0,0,126,0,"No match for top two","",1.10,1,"","L","","B","F","","Ramirez Ricky","Wood S Trey","",0,93,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","2019",322,55,44,47,0.17,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,21.29
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,07/07/2019,"Rui",5,"D","","",4.40,"DTR","Dtr 8000",0.00,8.000,"fst","O","3","",9,-1.00,3.00,-1.00,-1.00,-1.00,-1.00,21.35,"Apocalyptical Jess","Uncurled Fist","Coach a Comin",126,126,128,1.00,0.25,0.25,0,"","A",1,8,0.00,0,21.35,0,0.00,2,0.10,1,0.10,1,1.00,"","",0,0,126,0,"Step slow, took charge","",0.20,1,"","L","","B","F","","Ramirez Ricky","Wood S Trey","",0,96,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,3.00,-1.00,-1.00,-1.00,-1.00,21.35
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,06/08/2019,"Rui",9,"D","","",4.00,"DBY","RUIDOSODBY-G",0.00,958.766,"fst","O","3","",9,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.75,"Apocalyptical Jess","Danjer","Cds Wine N Dine",126,126,126,0.25,0.75,0.25,1,"","C",3,1,0.00,0,19.75,0,0.00,1,0.10,1,0.10,1,0.25,"","",0,0,126,0,"Dueled late, game","",2.40,2,"","L","","B","F","","Thedford T","Wood S Trey","",0,93,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.75
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,05/26/2019,"Rui",9,"D","","",4.00,"DTR","Dtr 8000",0.00,8.000,"fst","O","3","",9,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.74,"Apocalyptical Jess","Cd Rowdy James","Lethal Lil",126,126,126,2.00,0.25,1.00,0,"","I",9,4,0.00,0,19.74,0,0.00,1,0.50,1,1.00,1,2.00,"","",0,0,126,0,"Drew off, best","",0.40,1,"","L","","B","F","","Ramirez Ricky","Wood S Trey","",0,93,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.74
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,04/20/2019,"RP",11,"D","","",4.00,"DBY","RP OKB DBY-G",0.00,289.975,"fst","O","3","R",8,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.76,"Apocalyptical Jess","Watah Flash","Lynnder 16",124,124,124,1.75,0.50,0.10,3,"","B",2,5,0.00,0,19.76,0,0.00,1,0.10,1,1.00,1,1.75,"","",0,0,124,0,"In hand late","",0.70,1,"","L","","B","F","","Ramirez Ricky","Wood S Trey","",0,89,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.76
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,04/07/2019,"RP",4,"D","","",4.00,"DTR","Dtr 15000",0.00,15.000,"fst","O","3","S",7,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.64,"Apocalyptical Jess","Watah Flash","Cartels Sign of Mine",124,124,128,0.25,2.00,0.10,0,"","B",2,6,0.00,0,19.64,0,0.00,1,0.50,1,0.50,1,0.25,"","",0,0,124,0,"Sped off early, classy","",0.30,1,"","L","","B","F","","Ramirez Ricky","Wood S Trey","",0,92,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.64
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,11/10/2018,"LS",11,"D","","",4.00,"FUT","TXCLSSC FU-G",0.00,1014.657,"fst","O","2","",10,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.69,"Flying Cowboy 123","Eagles Fly Higher","Danjer",124,124,124,0.10,0.10,0.50,1,"","F",6,10,0.00,0,20.12,0,0.00,10,3.00,9,3.50,6,2.70,"","",0,0,124,0,"Off slow, no threat","",4.20,3,"","L","","B","F","","Ramirez R Jr","Wood G Blane","",0,87,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","2018",303,54,54,42,0.18,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.69
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",,10/20/2018,"LS",9,"D","","",4.00,"FTR","Ftr 5500",0.00,5.500,"my","O","2","",9,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,19.78,"Apocalyptical Jess","Sera Jess Fine V","Dak",124,124,124,0.50,1.75,1.75,0,"","B",2,1,0.00,0,19.78,0,0.00,1,0.25,1,0.50,1,0.50,"","",0,0,124,0,"Inchd away unwavered","",0.50,1,"","L","","B","F","","Ramirez Ricky","Wood G Blane","",0,95,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,19.78
