"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"GP","",74.00,"T","CROFT BARRY",5.00,1.00,0.00,0.00,11.60
05/02/2020,"GP","",75.00,"J","Meneses M",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",76.00,"T","STIDHAM MICHAEL",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",77.00,"J","Bravo J",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",78.00,"T","FUENTES MAURICIO",4.00,0.00,2.00,0.00,0.00
05/02/2020,"GP","",79.00,"J","Fuentes M*",3.00,0.00,2.00,0.00,0.00
05/02/2020,"GP","",80.00,"T","CRICHTON ROHAN",17.00,1.00,1.00,3.00,4.80
05/02/2020,"GP","",81.00,"J","Lopez P",2.00,1.00,0.00,1.00,4.80
05/02/2020,"GP","",82.00,"T","DUCO LUIS",8.00,1.00,1.00,1.00,12.60
05/02/2020,"GP","",83.00,"J","Vasquez M A",4.00,1.00,0.00,1.00,12.60
05/02/2020,"GP","",84.00,"T","BENNETT DALE",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",85.00,"J","Saez L",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",86.00,"T","HENNIG MARK",10.00,1.00,2.00,1.00,12.20
05/02/2020,"GP","",87.00,"J","Saez L",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",88.00,"J","Lopez P",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",89.00,"T","BROWN CHAD C",14.00,4.00,2.00,2.00,10.00
05/02/2020,"GP","",90.00,"J","Ortiz I Jr",1.00,1.00,0.00,0.00,5.80
05/02/2020,"GP","",91.00,"T","FAWKES DAVID",21.00,2.00,3.00,3.00,20.30
05/02/2020,"GP","",92.00,"J","Jaramillo E",6.00,0.00,2.00,0.00,0.00
05/02/2020,"GP","",93.00,"J","Gaffalione T",2.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",94.00,"J","Lopez P",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",95.00,"T","CASSE MARK",45.00,5.00,6.00,4.00,7.44
05/02/2020,"GP","",96.00,"J","Gaffalione T",17.00,3.00,3.00,3.00,9.87
05/02/2020,"GP","",97.00,"J","Lopez P",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",98.00,"J","Zayas E J",9.00,0.00,3.00,0.00,0.00
05/02/2020,"GP","",99.00,"J","Davis D",5.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",100.00,"T","PILOTTI LARRY",7.00,1.00,1.00,0.00,17.60
05/02/2020,"GP","",101.00,"J","Saez L",3.00,1.00,0.00,0.00,17.60
05/02/2020,"GP","",102.00,"T","WINEBAUGH CHERYL",4.00,1.00,0.00,0.00,5.20
05/02/2020,"GP","",103.00,"J","Davis D",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",104.00,"J","Rodriguez A A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",105.00,"T","SANCAL MURAT",9.00,2.00,1.00,1.00,13.20
05/02/2020,"GP","",106.00,"J","Jaramillo E",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",107.00,"T","ROMANS DALE",17.00,2.00,2.00,0.00,16.30
05/02/2020,"GP","",108.00,"J","Gaffalione T",0.00,0.00,0.00,0.00,0.00
