"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"TAM","",102.00,"J","Lopez C C",12.00,1.00,4.00,0.00,6.20
05/02/2020,"TAM","",103.00,"T","SCOTT JOAN",33.00,5.00,3.00,7.00,10.08
05/02/2020,"TAM","",104.00,"J","Spieth S",7.00,2.00,1.00,1.00,15.40
05/02/2020,"TAM","",105.00,"T","MACHADO FRANCISCO S JR",2.00,1.00,0.00,1.00,12.40
05/02/2020,"TAM","",106.00,"J","Almeida M",2.00,1.00,0.00,1.00,12.40
05/02/2020,"TAM","",107.00,"T","DOMINGUEZ LUIS R",39.00,4.00,2.00,3.00,21.75
05/02/2020,"TAM","",108.00,"J","Leon J A",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",109.00,"T","RAYMOND ROBERT A",118.00,7.00,14.00,19.00,29.71
05/02/2020,"TAM","",110.00,"J","Marin A A",11.00,1.00,1.00,3.00,77.80
05/02/2020,"TAM","",111.00,"T","SHANNON JENNIFER",57.00,0.00,4.00,6.00,0.00
05/02/2020,"TAM","",112.00,"J","Mejia T B",5.00,0.00,0.00,2.00,0.00
05/02/2020,"TAM","",113.00,"T","BOYCE MICHELE",41.00,2.00,7.00,10.00,12.10
05/02/2020,"TAM","",114.00,"J","Hernandez O K",3.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",115.00,"T","GULICK JAMES M",25.00,4.00,3.00,3.00,16.85
05/02/2020,"TAM","",116.00,"J","Lopez J E",3.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",117.00,"T","RODRIGUEZ ANGEL M",3.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",118.00,"J","Gallardo A A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",119.00,"J","Mena R",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",120.00,"T","BOWERSOCK MARIA",135.00,13.00,17.00,17.00,9.74
05/02/2020,"TAM","",121.00,"J","Allen R D Jr",123.00,12.00,15.00,16.00,10.20
05/02/2020,"TAM","",122.00,"T","GLYSHAW TIM",44.00,5.00,4.00,9.00,7.36
05/02/2020,"TAM","",123.00,"J","Suarez A",28.00,5.00,2.00,6.00,7.36
05/02/2020,"TAM","",124.00,"T","WRIGHT MICHAEL W",40.00,7.00,5.00,8.00,11.09
05/02/2020,"TAM","",125.00,"J","Wales G",14.00,3.00,2.00,1.00,15.13
05/02/2020,"TAM","",126.00,"T","BENNETT GERALD S",208.00,49.00,42.00,33.00,7.03
05/02/2020,"TAM","",127.00,"J","Centeno D E",28.00,10.00,3.00,4.00,4.60
05/02/2020,"TAM","",128.00,"J","Santos A",17.00,3.00,2.00,4.00,8.60
05/02/2020,"TAM","",129.00,"T","BELHUMEUR JULIE",17.00,1.00,1.00,3.00,30.80
05/02/2020,"TAM","",130.00,"J","Cotto P L Jr",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",131.00,"T","O'CONNELL KATHLEEN",142.00,25.00,11.00,20.00,8.10
05/02/2020,"TAM","",132.00,"J","Gallardo A A",57.00,10.00,3.00,10.00,7.12
05/02/2020,"TAM","",133.00,"T","BLAIR JORDAN",35.00,8.00,9.00,2.00,6.80
05/02/2020,"TAM","",134.00,"J","Villa-Gomez H",2.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",135.00,"T","CARRASCO VICTOR JR",49.00,9.00,6.00,2.00,15.09
05/02/2020,"TAM","",136.00,"J","Martinez W",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",137.00,"T","MACHADO ANTONIO",72.00,10.00,4.00,5.00,15.42
05/02/2020,"TAM","",138.00,"J","Suarez A",6.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",139.00,"J","Hernandez H",6.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",140.00,"T","DURR ZOLLIE",10.00,0.00,0.00,2.00,0.00
05/02/2020,"TAM","",141.00,"J","Alencar W",2.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",142.00,"T","MILLER RORY C",23.00,2.00,2.00,5.00,8.80
05/02/2020,"TAM","",143.00,"J","Rivera J L Jr",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",144.00,"T","HAMM TIMOTHY",86.00,10.00,13.00,11.00,19.62
05/02/2020,"TAM","",145.00,"J","Suarez A",53.00,6.00,7.00,4.00,25.43
05/02/2020,"TAM","",146.00,"T","WILSON TONY",45.00,2.00,6.00,6.00,28.00
05/02/2020,"TAM","",147.00,"J","Santos A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",148.00,"T","CLARK TOM A",19.00,2.00,1.00,5.00,24.50
05/02/2020,"TAM","",149.00,"J","Wales G",6.00,1.00,0.00,3.00,42.00
05/02/2020,"TAM","",150.00,"T","GONZALEZ ALDANA",31.00,3.00,2.00,5.00,22.40
05/02/2020,"TAM","",151.00,"J","Spieth S",29.00,3.00,2.00,5.00,22.40
05/02/2020,"TAM","",152.00,"T","ARBORITANZA JOSEPH",64.00,6.00,8.00,8.00,24.00
05/02/2020,"TAM","",153.00,"J","Mendez K",4.00,1.00,0.00,0.00,90.00
05/02/2020,"TAM","",154.00,"J","Coa K J",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",155.00,"T","WESTLYE KENNETH",47.00,1.00,3.00,4.00,11.80
05/02/2020,"TAM","",156.00,"J","Urdaneta J J",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",157.00,"T","AVILA JUAN C",53.00,10.00,5.00,9.00,17.50
05/02/2020,"TAM","",158.00,"J","Centeno D E",7.00,3.00,0.00,2.00,6.67
05/02/2020,"TAM","",159.00,"J","Garcia W A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",160.00,"J","Suarez A",6.00,0.00,0.00,1.00,0.00
